log_budget,release_year,release_month,release_quarter,log_star_power,score,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,nan,romance,science_fiction,thriller,tv_movie,war,western,opening_weekend,revenue,names
18.392281279718734,2022,12,4,19.80290363653864,52.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,193758120.71240586,425726914.4,The Simpsons Meet the Bocellis in Feliz Navidad
16.575520561288332,2021,2,1,19.942634556926514,83.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,219418469.84816805,503063688.0,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
18.72078534381011,2023,2,1,20.16006354829277,58.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,339566144.9921665,670271186.2,Huesera: The Bone Woman
18.622804936212436,2022,11,4,19.71432495014514,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,161883602.79597738,344127931.8,The Last Heretic
18.008795083137898,2023,1,1,20.150185468865363,63.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,290802042.6494415,580188584.0,JUNG_E
17.72753358339242,2023,1,1,18.683848391170013,79.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45064842.200112134,108973274.0,A Man Called Otto
17.764444013788765,2023,3,1,18.609090454814122,68.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4027401.678641696,9263009.0,Champions
18.826145858727198,2023,3,1,19.279012852897793,76.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93217970.12261459,158598670.0,Dungeons & Dragons: Honor Among Thieves
18.614601444826903,2022,12,4,20.427732718797483,68.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,486598671.9057278,977795653.4,Troll
18.31532023940565,2022,3,1,19.4956390046885,76.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211591226.6657704,405421518.0,Sonic the Hedgehog 2
16.118095750958314,1994,5,2,18.097049536008825,78.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6698176.885387747,17287898.0,A Bronx Tale
18.371490510265794,2023,1,1,19.846484123776882,65.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,244080748.14141333,416119951.4,Big Trip 2: Special Delivery
18.65969765229688,2022,12,4,19.895709347361116,73.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,195147928.44189966,533207056.8,Encanto at the Hollywood Bowl
18.310865889105873,2009,3,1,19.873420384858864,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,120361568.6232767,318375960.2,The Forbidden Legend: Sex & Chopsticks 2
18.951309000896888,2022,5,2,19.859488766072452,83.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,721157430.4160146,1481369482.0,Top Gun: Maverick
18.80866054450377,2023,4,2,19.38719810411251,65.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,147582790.51901805,445526734.8,On a Wing and a Prayer
13.815511557963774,2022,8,3,18.444541949556296,76.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40376285.87055392,102414815.2,Sniper: The White Raven
14.047867535020396,2022,12,4,18.568737598798084,74.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58477174.84101006,102023958.0,The Enforcer
16.891900780661178,2022,11,4,18.1394973443938,57.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642593.082461004,1228459.0,Diabolik - Ginko Attacks
17.370858648025116,2023,3,1,19.10977346505239,73.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,88731394.24944253,167273149.0,Scream VI
19.283570703318816,2009,12,4,19.941105952777935,76.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1645194470.6931996,2923706026.0,Avatar
18.09217669086922,2022,8,3,19.483456516495036,67.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,112406242.21103418,318039059.2,Breaking
18.963005040591682,2023,3,1,19.875377908403983,78.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,243851043.42646846,594334899.0,Tetris
17.622173069956816,2023,3,1,18.612210430046808,63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,33643207.199999996,56072012.0,65
19.33697147982652,2022,7,3,19.64318231535213,66.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,413363514.9442326,760928081.0,Thor: Love and Thunder
18.807302771052527,2022,1,1,20.464530639701888,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,523666006.43999994,872776677.4,Arctic Void
12.429220196836383,2022,10,4,16.722334514049916,69.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4048018.78084221,12964783.0,Terrifier 2
17.216707972959764,2014,11,4,19.176918792711977,74.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43313259.97929026,75958800.0,John Wick
19.11382792951231,2021,12,4,20.04666893501058,80.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1046145004.186013,1910048245.0,Spider-Man: No Way Home
17.76675429577647,2022,11,4,19.873386830025876,66.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,279391899.6120757,539054106.6,R.I.P.D. 2: Rise of the Damned
18.560442695023177,2022,4,2,20.016642918394503,65.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,266337947.48507062,489779661.0,Dolphin Boy
17.370858648025116,2022,11,4,19.12330668330871,82.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,26990984.96978812,81567666.2,Guillermo del Toro's Pinocchio
18.550655829155286,2022,12,4,19.834593346611292,79.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,319462472.11884576,604874932.2,A Frozen Rooster
17.590625761680005,2022,8,3,19.465799915317,79.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47590593.99457413,86562140.0,Dragon Ball Super: Super Hero
18.53400943818794,2022,11,4,19.954344868936257,63.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,330041599.459801,586323916.4,Nocebo
18.58177867280678,2022,11,4,19.942028275517828,61.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,235077384.86794502,457839055.6,Hex
16.951004817371683,2022,9,3,18.703642946523118,72.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2098335.7921851436,4311284.0,Medieval
18.7163309934938,2023,3,1,20.173547396097874,73.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,297347674.11623895,716009340.2,Barbie: Skipper and the Big Babysitting Adventure
17.553180200057167,1993,6,2,18.55581922273622,43.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12036244.466738386,20844907.0,Super Mario Bros.
18.465462896286315,2023,1,1,19.287034481295414,64.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,105424371.58283602,260353036.4,Transfusion
18.92145603792546,2022,6,2,20.018919836782793,69.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,516442457.846092,1001978080.0,Jurassic World Dominion
17.747336210296442,2022,12,4,20.019288686757374,68.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,254314758.071355,455134472.8,The Boss Baby: Christmas Bonus
18.258161826219297,2019,4,2,19.387194585711605,70.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196975322.317487,363563907.0,Shazam!
18.420680753952364,2022,12,4,19.379453616022044,65.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107560747.9316504,246367071.0,El último hombre sobre la Tierra
16.811242881518265,2022,10,4,19.386977577781558,78.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,111323594.84399596,326479707.4,All Quiet on the Western Front
16.811242881518265,2022,12,4,18.915454287389334,76.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39042912.70138557,76599607.0,Violent Night
16.993564429978885,2022,1,1,19.012953294481157,67.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,63583311.85771376,138874789.0,Scream
16.52356082573315,2022,1,1,19.012953294481157,67.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,69348606.89476372,173046640.0,Scream
18.31532023940565,2023,1,1,18.673109371194123,74.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8043418.312975424,20000000.0,Devotion
17.72753358339242,2022,10,4,19.41117152261975,78.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,51529487.38176817,94374749.0,The Woman King
18.702093210937722,2023,4,2,19.892235294982616,74.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,230179339.63205516,469254456.2,Evil Dead Rise
18.195034074951366,2023,2,1,19.74097909467947,67.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,203420409.756596,387664307.6,Perfect Addiction
18.71335036537787,2022,1,1,19.307130142756012,58.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,145000500.8233995,308786595.8,Project Gemini
19.11382792951231,2022,5,2,19.992676745867612,74.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,497367529.0653366,952224986.0,Doctor Strange in the Multiverse of Madness
18.731102310705015,2022,7,3,19.009576950106748,53.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,101825299.67774555,194565354.0,There Are No Saints
19.519293035953808,2018,4,2,20.05997102251086,83.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1037045285.2192225,2048359754.0,Avengers: Infinity War
16.648723960844016,2022,9,3,18.999221473430207,68.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,100852263.01867624,216049734.0,Smile
18.421680254275458,2023,3,1,20.346107528033418,47.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386913211.52262676,947468745.8,¡Que Viva México!
18.71484178995342,2023,1,1,19.997687008517026,56.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,463719554.16,772865923.6,Detective Knight: Independence
18.72078534381011,2022,11,4,19.12551784336092,65.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,38201595.590725355,69566884.0,Strange World
16.41820031748273,1958,12,4,18.246825399966617,78.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32978694.541483518,85433929.0,The Ten Commandments
16.118095750958314,1958,12,4,18.246825399966617,78.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,386221.77410748275,1051907.0,The Ten Commandments
18.675322970077882,2019,3,1,19.847379688583608,80.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,286697855.4101924,645532173.4,Demon Slayer: Kimetsu no Yaiba Sibling's Bond
18.5159909328476,2022,10,4,19.320936937953448,63.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105283773.32606491,271669045.6,Four's a Crowd
18.197537205138154,2022,7,3,19.41310223158216,75.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,412771898.33076,939200081.0,Minions: The Rise of Gru
17.72753358339242,2018,12,4,19.30686271106391,70.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108102643.68838313,213591522.0,Creed II
17.426428497635523,2015,11,4,19.306593220313868,74.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64407486.681736186,173567581.0,Creed
17.399029524198163,2022,8,3,18.694328534827623,68.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,32245262.12611261,59103794.0,Beast
18.542898385526172,2022,11,4,19.639566040990474,68.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,196660802.16956925,365992130.6,My Name Is Vendetta
17.50439003707821,2021,4,2,18.7510730433791,77.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49135352.072118364,103913405.0,Wrath of Man
15.424948670398354,2022,9,3,15.560942668012686,57.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3113409.8476616573,5954938.0,Jeepers Creepers: Reborn
18.980296537602072,2022,3,1,17.776235536852578,75.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5262625.50316418,10964971.0,Turning Red
18.826145858727198,2021,11,4,19.55862607080597,76.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111110695.82165733,231120602.0,Encanto
18.279117191151315,2022,11,4,19.42420009179861,59.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,97084103.90612717,284184080.0,Prancer: A Christmas Tale
17.622173069956816,2023,2,1,18.169287021415183,72.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23519912.705717016,52000000.0,Magic Mike's Last Dance
17.72753358339242,2022,12,4,19.04786777223599,75.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,33677958.49697841,107644101.0,"Lyle, Lyle, Crocodile"
16.53421645165462,2021,2,1,17.7875255920726,62.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9599.717578242671,23800.0,The Penitent Thief
17.50439003707821,2016,10,4,19.136542169151973,82.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,82957907.42742631,169023926.0,Hacksaw Ridge
15.607270193858982,2022,12,4,18.38179271565186,55.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3264431.63409652,7818479.0,Venus
18.456047897442165,2022,9,3,18.83311731257931,57.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61723228.583707996,134150172.6,The Offering
16.89906037513491,2022,3,1,19.66853333963473,82.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104149548.38865452,195870885.0,Jujutsu Kaisen 0
19.11382792951231,2022,3,1,19.49158696936836,77.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,282146114.5435308,766326717.0,The Batman
18.31532023940565,2020,11,4,19.7632638002842,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,194528196.3035054,627851111.8,Life in a Year
18.83675603776885,1986,7,3,19.96382102738737,60.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300277443.7683054,675230189.0,Super Mario Brothers: Great Mission to Rescue Princess Peach
19.00846741441004,2005,12,4,19.6075311362303,71.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,364645417.4564345,745013115.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
14.220976332738882,2022,7,3,18.90036179269837,72.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59329376.369465336,123516163.2,The Exorcism of God
18.542898385526172,2022,2,1,19.864749453111624,63.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,243095850.08721963,548624602.6,Ghosts of the Ozarks
18.85983849947279,2022,12,4,19.462170400061936,65.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,142050794.86451307,302915354.0,Kompromat
18.116869303120836,2022,12,4,19.627770497806797,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120085127.51482747,346352260.6,Matadero
17.16609061321227,2023,4,2,18.98480517820073,79.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1813213.0189440409,5000000.0,Air
18.775554072957092,2022,11,4,19.696190148417077,70.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,226359988.0649576,524597714.8,Disenchanted
18.80594315154573,2022,8,3,19.88887274798565,79.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,345817861.58659995,721203091.4,Luck
18.268694398595926,2022,8,3,19.21402883776418,75.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,130809760.1224443,238534963.0,Bullet Train
18.639012746307937,2022,12,4,19.753863526898524,69.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,257000665.92934054,508761361.2,Night at the Museum: Kahmunrah Rises Again
18.690707888799015,2022,10,4,19.717974795423807,67.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,198333632.1621417,431341845.4,Blade of the 47 Ronin
18.258161826219297,2021,12,4,19.493605438996696,80.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,180544230.85957044,404655351.0,Sing 2
18.478949661510303,2022,6,2,20.162360609844633,59.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,326294720.118896,591557010.2,Shark Bait
17.72753358339242,2001,6,2,19.680635301542896,77.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,281340350.81692314,491812794.0,Shrek
